donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
donghuang,AAPL,oo,11.33,111.43,435345.2,324.3,33,144.111
